Tag,SpeciesNam,DBH,treeXCoord,treeYCoord,treeID,i_mn_fr,h_max,i_mn_sn,i_mean,h_mn_sn,P50h,P90h,h_mean,h_75nrm,i_cv,i_p25,i_p50,i_iq,ndgi,src,si,b2norm,avi,rr,ndwi,ndvi,b4norm
"16422",Cinnamomum ilicioides,79.900000000000006,754487.099999999976717,1597440.399999999906868,"335",139.484274777570874,39.298999999999999,216.513933547695615,103.288316226250274,20.849944801714898,17.606000000000002,34.058999999999997,18.460894300065519,0.726758255608772,93.773045059089426,28.000000000000000,70.000000000000000,126.000000000000000,-0.05205,3.65301,0.96668,0.22885,0.35664,7.61159,0.38421,0.76775,0.10512
"18261",Cinnamomum ilicioides,64.900000000000006,754530.800000000046566,1597728.000000000000000,"37",184.588922323659915,50.009999999999998,248.405801347787872,123.992136531639915,35.213894081453269,29.116000000000000,44.866600000000005,27.022911765435470,0.778903978653073,85.971709737765195,30.000000000000000,87.000000000000000,183.000000000000000,-0.14300,2.60434,0.96122,0.34275,0.30505,4.81514,0.31518,0.65607,0.15232
"21080",Cinnamomum ilicioides,105.500000000000000,754591.099999999976717,1597624.500000000000000,"865",171.503853090670589,31.952999999999999,229.486157253599117,119.746646671665417,23.646568106312294,21.428000000000001,27.240600000000001,19.522974006498377,0.792883382105722,78.464013783506246,37.000000000000000,95.000000000000000,161.000000000000000,-0.05464,3.40306,0.96640,0.24669,0.32488,6.47313,0.33990,0.73237,0.11948
"25331",Cinnamomum ilicioides,115.200000000000003,754667.199999999953434,1597557.899990000063553,"862",140.836512261580395,31.713000000000001,240.373376623376629,93.611928934010152,22.048753246753247,18.981500000000000,28.205100000000002,17.219675380710662,0.807059248101425,93.152704549269657,26.000000000000000,61.000000000000000,109.000000000000000,-0.06977,3.13356,0.96587,0.26093,0.33900,6.74546,0.34250,0.74178,0.11608
"26148",Cinnamomum ilicioides,84.200000000000003,754690.899989999947138,1597666.000000000000000,"465",116.021383647798743,36.640000000000001,172.997858672376879,77.236017100106878,24.659421841541757,22.445999999999998,33.896000000000001,20.291902208763805,0.789370025448048,89.886818736723839,23.000000000000000,57.000000000000000,88.000000000000000,-0.07712,4.02682,0.96824,0.26797,0.31019,6.21195,0.37005,0.72268,0.12393
"26179",Cinnamomum ilicioides,86.200000000000003,754696.399989999947138,1597694.100009999936447,"336",122.299262994569432,38.841000000000001,188.433235663457509,84.878051767779866,29.955462536626204,26.932000000000002,35.317999999999998,24.473483546991101,0.838477682227682,90.191781416004119,24.000000000000000,61.000000000000000,98.000000000000000,-0.17918,2.81609,0.96540,0.29844,0.26477,4.20367,0.28679,0.61566,0.16950
"26323",Cinnamomum ilicioides,90.700000000000003,754694.500000000000000,1597766.399990000063553,"788",132.296332046332054,32.298999999999999,190.487445414847173,91.756189400357712,23.984037117903931,21.271000000000001,29.488800000000001,18.477814647463052,0.817022192168193,83.097425300238314,28.000000000000000,71.000000000000000,106.000000000000000,-0.01341,2.73975,0.96450,0.26661,0.37566,8.12163,0.36321,0.78074,0.09906
"28279",Cinnamomum ilicioides,139.500000000000000,754733.500000000000000,1597488.500000000000000,"122",148.980776250152076,44.054000000000002,217.476429675425038,105.175123138092701,21.940993817619784,15.372000000000000,39.387999999999998,18.093968607204321,0.725567899561938,84.260200678109598,31.000000000000000,82.000000000000000,137.000000000000000,-0.19039,4.13632,0.97539,0.11249,0.23067,4.59672,0.33989,0.64265,0.15932
"30010",Cinnamomum ilicioides,120.000000000000000,754765.899989999947138,1597566.000000000000000,"720",124.030578329270995,33.791000000000004,221.328426862925483,86.158043617118352,17.698767249310027,21.091000000000001,29.239200000000004,18.835223651793047,0.754727540500736,94.001668311421383,26.000000000000000,59.000000000000000,92.000000000000000,-0.15027,3.96671,0.97250,0.15569,0.29393,6.13439,0.32915,0.71967,0.12701
"30090",Cinnamomum ilicioides,56.000000000000000,754782.100010000052862,1597664.100009999936447,"1052",121.848829854522450,29.413000000000000,193.797927461139892,88.136799042107370,8.934323464100666,6.647500000000001,25.452999999999999,11.828065455996807,0.753885003885004,82.959075840163408,30.000000000000000,70.000000000000000,92.000000000000000,-0.02837,1.73120,0.96279,0.34088,0.39790,8.50018,0.35962,0.78948,0.09574
